"Scenario","Model","Customers/Day","Game Day Length","Player Type","30m Customers","30m Trades","30m Profit","30m Passive Income","30m Workshop HAS","30m Net Worth","Profit/Real Minute","Day 30 Net Worth","Day 75 Net Worth","Day 100 Net Worth","Day 150 Net Worth"
"OLD_FAZ6_MODEL_OLD_8M_CONSERVATIVE_LOW_OUTPUT","OLD_FAZ6_MODEL","20","8","CONSERVATIVE","75","33","9396.135036900729","0","0","111368.60774710032","313.2045012300243","211125.08667354123","290710.0360761961","482543.7327668939","885026.3517066028"
"OLD_FAZ6_MODEL_OLD_8M_CONSERVATIVE_BASE_OUTPUT","OLD_FAZ6_MODEL","20","8","CONSERVATIVE","75","33","9207.205221669432","0","0","111478.60090798861","306.9068407223144","211423.14300862447","290334.43985590956","480950.53918970155","883370.8804323666"
"OLD_FAZ6_MODEL_OLD_8M_CONSERVATIVE_HIGH_OUTPUT","OLD_FAZ6_MODEL","20","8","CONSERVATIVE","76","33","9555.740464141905","0","0","111608.33419595945","318.52468213806355","211179.4559276059","287906.2149775493","479597.4591040496","920182.8637143834"
"OLD_FAZ6_MODEL_OLD_8M_AVERAGE_LOW_OUTPUT","OLD_FAZ6_MODEL","20","8","AVERAGE","75","37","20768.396111907292","0","0","122906.87198232449","692.2798703969098","201725.65728261537","543288.7489053237","777994.0600654298","1948229.94899368"
"OLD_FAZ6_MODEL_OLD_8M_AVERAGE_BASE_OUTPUT","OLD_FAZ6_MODEL","20","8","AVERAGE","75","36","21030.70301738161","0","0","123281.13790082952","701.0234339127203","201779.49444106387","539703.1002687352","824831.655234505","2217519.4675187273"
"OLD_FAZ6_MODEL_OLD_8M_AVERAGE_HIGH_OUTPUT","OLD_FAZ6_MODEL","20","8","AVERAGE","75","36","20621.338069748737","0","0","122805.63695617556","687.3779356582913","201474.90741410048","542119.0049124004","933842.5516785847","2828586.1939317593"
"OLD_FAZ6_MODEL_OLD_8M_AGGRESSIVE_LOW_OUTPUT","OLD_FAZ6_MODEL","20","8","AGGRESSIVE","76","37","44666.8052248679","0","0","146993.10803726548","1488.8935074955969","231814.189055186","946865.0420776363","1954558.5049557998","8055041.749017743"
"OLD_FAZ6_MODEL_OLD_8M_AGGRESSIVE_BASE_OUTPUT","OLD_FAZ6_MODEL","20","8","AGGRESSIVE","75","38","45301.41125372735","0","0","148099.05430287187","1510.0470417909114","230437.26087081834","1047133.1396932437","2262882.8924061973","11456419.409405764"
"OLD_FAZ6_MODEL_OLD_8M_AGGRESSIVE_HIGH_OUTPUT","OLD_FAZ6_MODEL","20","8","AGGRESSIVE","75","37","44264.37112794316","0","0","146432.12980516223","1475.4790375981054","234170.12732561832","1254014.0565985506","2998906.866899479","19903457.931359414"
"NEW_FAZ78_MODEL_LOW_4M_CONSERVATIVE_LOW_OUTPUT","NEW_FAZ78_MODEL","12","4","CONSERVATIVE","102","45","13184.972784204849","0","0","117199.42409618356","439.4990928068283","177666.94919209956","233411.7628567526","301697.40125059756","474567.28619755025"
"NEW_FAZ78_MODEL_LOW_4M_CONSERVATIVE_BASE_OUTPUT","NEW_FAZ78_MODEL","12","4","CONSERVATIVE","102","45","12992.014446483556","0","0","117402.650757058","433.06714821611854","177528.21555073967","256789.10957101436","346751.0012968942","589349.5764517509"
"NEW_FAZ78_MODEL_LOW_4M_CONSERVATIVE_HIGH_OUTPUT","NEW_FAZ78_MODEL","12","4","CONSERVATIVE","102","45","13249.089119588076","0","0","117148.95149828504","441.63630398626924","178134.26788132876","302344.30220623536","443932.17533486563","832261.7456458904"
"NEW_FAZ78_MODEL_LOW_4M_AVERAGE_LOW_OUTPUT","NEW_FAZ78_MODEL","12","4","AVERAGE","103","50","29257.082520922686","0","0","133761.37971290824","975.2360840307563","151495.23515090556","394513.71491441503","562844.2070335798","1162907.8307275542"
"NEW_FAZ78_MODEL_LOW_4M_AVERAGE_BASE_OUTPUT","NEW_FAZ78_MODEL","12","4","AVERAGE","102","50","29294.59574718617","0","0","134053.29787596854","976.4865249062057","167865.3883985607","463689.1932648255","696385.8107455082","1593682.6963813936"
"NEW_FAZ78_MODEL_LOW_4M_AVERAGE_HIGH_OUTPUT","NEW_FAZ78_MODEL","12","4","AVERAGE","102","50","29143.452594001235","0","0","133953.2253211337","971.4484198000412","205240.64478005667","636150.6966772377","1002687.4875021556","2332305.984203147"
"NEW_FAZ78_MODEL_LOW_4M_AGGRESSIVE_LOW_OUTPUT","NEW_FAZ78_MODEL","12","4","AGGRESSIVE","103","51","64810.32473386639","0","0","169986.43314996592","2160.3441577955464","228361.2663876773","676205.9100304891","1233815.7890121932","3837077.323841314"
"NEW_FAZ78_MODEL_LOW_4M_AGGRESSIVE_BASE_OUTPUT","NEW_FAZ78_MODEL","12","4","AGGRESSIVE","103","51","64223.753276369214","0","0","169040.6897152408","2140.7917758789736","249718.45558082138","881975.884632466","1770878.583896773","6550535.573737076"
"NEW_FAZ78_MODEL_LOW_4M_AGGRESSIVE_HIGH_OUTPUT","NEW_FAZ78_MODEL","12","4","AGGRESSIVE","102","51","64477.219188808216","0","0","170386.97135118235","2149.2406396269407","283679.837526617","1340067.5824761314","3004012.404495949","12692689.183463851"
"NEW_FAZ78_MODEL_LOW_6M_CONSERVATIVE_LOW_OUTPUT","NEW_FAZ78_MODEL","12","6","CONSERVATIVE","68","30","8504.173504836188","0","0","111011.28410388375","283.4724501612062","177707.0547480855","235805.46218469934","303889.07629137224","477983.92511334753"
"NEW_FAZ78_MODEL_LOW_6M_CONSERVATIVE_BASE_OUTPUT","NEW_FAZ78_MODEL","12","6","CONSERVATIVE","68","30","8455.65744845647","0","0","111127.98702442239","281.8552482818823","177120.87540862995","253871.5926220169","346580.63772073877","590304.2411925218"
"NEW_FAZ78_MODEL_LOW_6M_CONSERVATIVE_HIGH_OUTPUT","NEW_FAZ78_MODEL","12","6","CONSERVATIVE","69","30","8584.207163235451","0","0","111014.09511388879","286.140238774515","177322.60677466728","307858.4571060926","447230.39954096","834397.4718809497"
"NEW_FAZ78_MODEL_LOW_6M_AVERAGE_LOW_OUTPUT","NEW_FAZ78_MODEL","12","6","AVERAGE","67","33","18820.88045837199","0","0","121934.42868925823","627.362681945733","150647.12545523176","396708.08984392765","564422.9703454929","1150245.2789258123"
"NEW_FAZ78_MODEL_LOW_6M_AVERAGE_BASE_OUTPUT","NEW_FAZ78_MODEL","12","6","AVERAGE","68","33","18715.439389845025","0","0","121367.81051872266","623.8479796615009","167788.29755911004","467856.5172963916","698203.629296512","1586901.8529234403"
